gene, correlational coefficient, p value, size
p0013,0.4527613601703517,0.001,79
p0008,0.40848151283697814,0.001,78
p0012,0.19413807966079788,0.001,78
p0009,0.5629786657901533,0.001,78
p0011,0.4544815840266005,0.001,78
p0010,0.4824330082258222,0.001,78
p0023,0.5387061342676943,0.001,78
p0021,0.38516149183137677,0.001,78
p0024,0.4661296159014109,0.001,78
p0022,0.42943844778599344,0.001,78
p0002,0.6161870616874429,0.001,78
p0005,0.5046134377432494,0.001,78
p0004,0.5536891042605592,0.001,78
p0006,0.36868917457523803,0.001,78
p0003,0.5782234713822682,0.001,78
p0007,0.47583065356071935,0.001,78
p0016,0.47112111294507203,0.001,78
p0015,0.5969742603818301,0.001,78
p0017,0.47708485564563763,0.001,78
p0014,0.3305990182307484,0.001,78
p0018,0.5331563260466541,0.001,78
p0019,0.41489840972620523,0.001,78
p0025,0.5157249807138304,0.001,79
p0020,0.43164419278991434,0.001,78
p0000,0.3940854135154759,0.001,78
p0001,0.5717756392024077,0.001,78
p0026,0.5252839209565587,0.001,78
p0028,0.49638055492022365,0.001,78
p0027,0.5299103177346323,0.001,79
p0029,0.48962739433820923,0.001,78
p0030,0.48173763524324703,0.001,78
p0031,0.46980961921780223,0.001,78
p0034,0.45601538856277096,0.001,78
p0032,0.5236790054706234,0.001,78
p0033,0.4986889704041348,0.001,78
p0036,0.5097273298040824,0.001,78
p0035,0.47396814375388524,0.001,78
p0037,0.4867328716249252,0.001,78
p0040,0.4458586854072471,0.001,78
p0039,0.37209714100052965,0.001,78
p0038,0.39239819734767095,0.001,78
p0047,0.490995292703154,0.001,78
p0043,0.458382506002931,0.001,78
p0041,0.4606086940122957,0.001,78
p0042,0.5514022081026998,0.001,78
p0044,0.5119486626936504,0.001,78
p0045,0.527385354642291,0.001,78
p0046,0.4217148156839457,0.001,78
p0051,0.5865540034733218,0.001,78
p0052,0.5300633740083082,0.001,78
p0055,0.4548346964293752,0.001,78
p0067,0.45697409666447947,0.001,78
p0056,0.5224571172664175,0.001,78
p0048,0.4761013870703937,0.001,79
p0054,0.45957160088451876,0.001,78
p0060,0.42200169051032377,0.001,78
p0059,0.48520037161195934,0.001,78
p0058,0.40443190448061306,0.001,78
p0057,0.48676685868070657,0.001,79
p0063,0.4575227420937089,0.001,78
p0064,0.5222148172755254,0.001,78
p0062,0.596886006028945,0.001,78
p0061,0.4294072114596291,0.001,78
p0066,0.4915297436581069,0.001,78
p0065,0.44672118681175366,0.001,78
p0072,0.49924783861089905,0.001,78
p0069,0.5001447933377668,0.001,78
p0070,0.6290399965384751,0.001,78
p0068,0.5229804067551984,0.001,78
p0071,0.5004326003510203,0.001,78
p0073,0.4568080695494767,0.001,78
p0049,0.47227363656908694,0.001,78
p0050,0.4474352601859144,0.001,78
p0075,0.43498568096903073,0.001,78
p0074,0.5647499869987157,0.001,78
p0079,0.49760166185191057,0.001,78
p0078,0.563153272806872,0.001,78
p0083,0.4321473135976712,0.001,78
p0076,0.48953927291138544,0.001,78
p0077,0.5097614419569092,0.001,78
p0081,0.4281217574008442,0.001,78
p0082,0.4047930882996229,0.001,78
p0084,0.4310013125324343,0.001,79
p0080,0.534408018124238,0.001,78
p0085,0.5023636688740888,0.001,78
p0086,0.5651769747019024,0.001,78
p0087,0.5101666655495871,0.001,78
p0088,0.5785726827956922,0.001,78
p0091,0.2791279714785828,0.001,78
p0089,0.5150622965191001,0.001,78
